source;bucket;variant_role;spell_path;name;file;cost;point_cost;spell_tier;primary_resource_cost;charge_time;cooldown_time;desc
aegiscraft;fixed_spells;;/datum/action/cooldown/spell/conjure_aegis;"""Arcyne Aegis""";code\modules\spells\spell_types\wizard\conjure\conjure_aegis.dm;;2;2;150;5 SECONDS;120 SECONDS;"""Project a shield of arcyne force into my offhand. It answers to my Arcyne Armament rather than the shieldwall's drill, and holds its shape until dispelled, shattered, or I am parted from it. Cast again with a free offhand to renew it."""
artifice;fixed_spells;;/datum/action/cooldown/spell/arcyne_forge;"""Arcyne Forge""";code\modules\spells\spell_types\wizard\conjure\arcyne_forge.dm;;2;2;SPELLCOST_CONJURE;2 SECONDS;1 MINUTES;"""Conjure a weapon or tool of your choice. Conjured items have halved durability.\n\"
artifice;fixed_spells;;/datum/action/cooldown/spell/mending;"""Mending""";code\modules\spells\spell_types\wizard\utility\mending.dm;;2;1;SPELLCOST_CANTRIP;;20 SECONDS;"""Uses arcyne energy to mend an item, prosthetic or artificial being. Effect of repair scales off of your Intelligence."""
augmentation;fixed_spells;;/datum/action/cooldown/spell/arcyne_burst;"""Arcyne Burst""";code\modules\spells\spell_types\wizard\telomancy\arcyne_burst.dm;;;2;SPELLCOST_MAJOR_AOE;CHARGETIME_POKE;20 SECONDS;"""Mark a nearby area with arcyne force. It swells for a few seconds before bursting, striking everyone across the whole zone with a wave of kinetic force and hurling them outward."""
augmentation;fixed_spells;;/datum/action/cooldown/spell/augment_buff/augment_defense;"""Augment Defense""";code\modules\spells\spell_types\wizard\augmentation\augment_defense.dm;;;;5;;30 SECONDS;"""Uses arcyne energy to restore a target's defenses, clearing away any vulnerability or exposure they may have suffered."""
augmentation;fixed_spells;;/datum/action/cooldown/spell/augment_buff/blood_rush;"""Blood Rush""";code\modules\spells\spell_types\wizard\augmentation\blood_rush.dm;;2;;SPELLCOST_BRUSH;;60 SECONDS;"""Flood the target's veins with a surge of vigor, quickening their body for a short burst."""
augmentation;fixed_spells;;/datum/action/cooldown/spell/augment_buff/grasp;"""Grasp""";code\modules\spells\spell_types\wizard\augmentation\grasp.dm;;1;;SPELLCOST_TELEPORT;;45 SECONDS;"""Reach out to a target within 7 tiles and wrench them to your side after a 2-second channel. An arcyne tether links you to them while you reel them in, warning them to ready themselves. They must share a fellowship with you and still be within your sight when the channel completes."""
augmentation;fixed_spells;;/datum/action/cooldown/spell/augment_buff/guidance;"""Guidance""";code\modules\spells\spell_types\wizard\augmentation\guidance.dm;;2;;;0;30 SECONDS;"""Channel arcyne power unto an ally, empowering their next strike to bypass parry and dodge. Works with both weapons and unarmed attacks. \"
augmentation;fixed_spells;;/datum/action/cooldown/spell/augment_buff/precognition;"""Precognition""";code\modules\spells\spell_types\wizard\augmentation\precognition.dm;;2;;SPELLCOST_UTILITY_BUFF;;75 SECONDS;"""Peer a few moments into the future for yourself or an ally, readying them before the moment arrives. Cuts 15 seconds from the remaining cooldown of the target's Defend and Special."""
augmentation;fixed_spells;;/datum/action/cooldown/spell/augment_buff/surge;"""Surge""";code\modules\spells\spell_types\wizard\augmentation\surge.dm;;2;;SPELLCOST_SURGE;;;"""Flood someone's body with vigors, instantly shaking off any stun, bringing them back to their feet. Cannot be cast on yourself"""
augmentation;fixed_spells;;/datum/action/cooldown/spell/create_campfire;"""Create Campfire""";code\modules\spells\spell_types\wizard\utility\create_campfire.dm;;1;1;SPELLCOST_CANTRIP;3 SECONDS;60 SECONDS;"""Creates a magical campfire to cook on. 3 tiles range. Lasts for 10 minutes."""
augmentation;fixed_spells;;/datum/action/cooldown/spell/darkvision;"""Darkvision""";code\modules\spells\spell_types\wizard\augmentation\darkvision.dm;;2;1;SPELLCOST_STAT_BUFF;1 SECONDS;1.5 MINUTES;"""Enhance the night vision of yourself and everyone around you for 15 minutes."""
augmentation;fixed_spells;;/datum/action/cooldown/spell/forcewall;"""Forcewall""";code\modules\spells\spell_types\wizard\conjure\forcewall.dm;;1;2;SPELLCOST_MINOR_AOE;1 SECONDS;30 SECONDS;"""Conjure a 5x1 wall of arcyne force in front of you, preventing anyone and anything from moving through it.\n\"
augmentation;fixed_spells;;/datum/action/cooldown/spell/mending;"""Mending""";code\modules\spells\spell_types\wizard\utility\mending.dm;;2;1;SPELLCOST_CANTRIP;;20 SECONDS;"""Uses arcyne energy to mend an item, prosthetic or artificial being. Effect of repair scales off of your Intelligence."""
augmentation;fixed_spells;;/datum/action/cooldown/spell/projectile/basic_offensive;"""Basic Offensive Magic""";code\modules\spells\spell_types\wizard\projectiles_single\basic_offensive.dm;;3;2;SPELLCOST_MINOR_PROJECTILE;CHARGETIME_POKE;5.5 SECONDS;"""Fundamental attack magyck. Used for centuries. Toggle firing mode (Shift+G) while the spell is active: \"
augmentation;variants;;/datum/action/cooldown/spell/second_chance;"""Second Chance""";code\modules\spells\spell_types\wizard\augmentation\second_chance.dm;;;;50;CHARGETIME_MINOR;2 MINUTES;"""Invigorate a target with magickal resilience for 30 seconds - they shrug off critical wounds, and no longer stagger from pain."""
autowardry;choice_spells;;/datum/action/cooldown/spell/conjure_arcyne_ward/crystalhide;"""Conjure Crystalhide Ward""";code\modules\spells\spell_types\wizard\conjure\conjure_arcyne_ward.dm;;4;3;;6 SECONDS;;"""Conjure a crystalhide ward - an upgraded arcyne ward crystallized with leyline energy. \"
autowardry;choice_spells;;/datum/action/cooldown/spell/conjure_arcyne_ward/dragonhide;"""Conjure Dragonhide Ward""";code\modules\spells\spell_types\wizard\conjure\conjure_arcyne_ward.dm;;4;;;;;"""Conjure a dragonhide ward - an upgraded arcyne ward hardened with draconic scales. \"
battlewardry;choice_spells;;/datum/action/cooldown/spell/projectile/greater_arcyne_bolt;"""Greater Arcyne Bolt""";code\modules\spells\spell_types\wizard\projectiles_single\greater_arcyne_bolt.dm;;3;2;SPELLCOST_MINOR_PROJECTILE;CHARGETIME_POKE;5.5 SECONDS;"""Fire a concentrated bolt of arcyne energy at a single target. \"
battlewardry;choice_spells;;/datum/action/cooldown/spell/projectile/soulshot;"""Soulshot""";code\modules\spells\spell_types\wizard\kinesis\soulshot.dm;;3;2;SPELLCOST_MAJOR_PROJECTILE;CHARGETIME_MAJOR;12 SECONDS;"""Fire a devastating beam of kinetic force that pierces through up to 4 targets. Stopped by solid objects. \"
battlewardry;fixed_spells;;/datum/action/cooldown/spell/arrow_ward;"""Arrow Ward""";code\modules\spells\spell_types\wizard\battlewardry\arrow_ward.dm;;;2;SPELLCOST_MINOR_AOE;CHARGETIME_POKE;30 SECONDS;"""Conjure a wide barrier of arcyne force in front of you. The barrier blocks incoming projectiles from the front but allows allies and the caster to shoot and walk through freely."""
battlewardry;fixed_spells;;/datum/action/cooldown/spell/battle_ward;"""Battle Ward""";code\modules\spells\spell_types\wizard\battlewardry\battle_ward.dm;;;2;SPELLCOST_MAJOR_AOE;CHARGETIME_HEAVY;20 SECONDS;"""Channel arcyne energy to inscribe a pattern of five rune wards in an X formation on a targeted area. The runes are fragile and last for one minute before fading. In addition, Battle Wards are indiscriminate unlike permanent Rune Wards, and will hit the caster and their allies. They can be circumvented by jumping or flying over them, or destroyed with a few solid hits. The type of rune placed depends on your current ward mode.\n\"
battlewardry;fixed_spells;;/datum/action/cooldown/spell/bestow_ward;"""Bestow Ward""";code\modules\spells\spell_types\wizard\battlewardry\bestow_ward.dm;;;2;SPELLCOST_UTILITY_BUFF;CHARGETIME_HEAVY;1.5 MINUTES;"""Channel arcyne energy to wrap an ally in a protective ward. The ward covers their entire body with light armor, \"
battlewardry;fixed_spells;;/datum/action/cooldown/spell/forcewall;"""Forcewall""";code\modules\spells\spell_types\wizard\conjure\forcewall.dm;;1;2;SPELLCOST_MINOR_AOE;1 SECONDS;30 SECONDS;"""Conjure a 5x1 wall of arcyne force in front of you, preventing anyone and anything from moving through it.\n\"
battlewardry;fixed_spells;;/datum/action/cooldown/spell/touch/rune_ward;"""Rune Ward""";code\modules\spells\spell_types\wizard\utility\rune_ward.dm;;1;1;SPELLCOST_CONJURE;;30 SECONDS;"""Channel arcyne energy through ash to inscribe protective runes upon the ground. The runes trigger when trespassers cross them - but can be circumvented by jumping or flying over them. Includes the following modes:\n \"
battlewardry;variants;;/datum/action/cooldown/spell/arcyne_fortress;"""Arcyne Fortress""";code\modules\spells\spell_types\wizard\battlewardry\arcyne_fortress.dm;;;;SPELLCOST_ULTIMATE;CHARGETIME_HEAVY;90 SECONDS;"""Channel an immense surge of arcyne energy to erect a 5x5 fortress of arrow wards around yourself. \"
conjuration;choice_spells;;/datum/action/cooldown/spell/command_word/beckon;"""Beckon""";code\modules\spells\spell_types\wizard\conjure\command_word.dm;;;;;;30 SECONDS;"""Taunt teleport your servants to a marked spot and attract their aggression, Overload makes one explode with arcyne energy, Focus sets them to strike the zone you are aiming at, it does not guarantee they'll hit."""
