source;bucket;variant_role;spell_path;name;file;cost;charge_time;cooldown_time;desc
artifice;fixed_spells;;/datum/action/cooldown/spell/arcyne_forge;"""Arcyne Forge""";code\modules\spells\spell_types\wizard\conjure\arcyne_forge.dm;;2 SECONDS;1 MINUTES;"""Conjure a weapon or tool of your choice. Conjured items have halved durability.\n\"
artifice;fixed_spells;;/datum/action/cooldown/spell/mending;"""Mending""";code\modules\spells\spell_types\wizard\utility\mending.dm;;;20 SECONDS;"""Uses arcyne energy to mend an item, prosthetic or artificial being. Effect of repair scales off of your Intelligence."""
augmentation;choice_spells;;/datum/action/cooldown/spell/conjure_arcyne_ward/steelhide;"""Conjure Steelhide Ward""";code\modules\spells\spell_types\wizard\conjure\conjure_steelhide.dm;;6 SECONDS;;"""Conjure a steelhide ward - an upgraded arcyne ward imitating steel, hardened especially against thrusts and points. \"
augmentation;choice_spells;;/datum/action/cooldown/spell/twin_link;"""Twin Link""";code\modules\spells\spell_types\wizard\augmentation\twin_link.dm;;1 SECONDS;30 SECONDS;"""Bind a single ally to yourself. While the two of you remain in sight of one another, any augmentation placed on either of you echoes to the other at half strength. \"
augmentation;fixed_spells;;/datum/action/cooldown/spell/bestow_ward;"""Bestow Ward""";code\modules\spells\spell_types\wizard\battlewardry\bestow_ward.dm;;CHARGETIME_HEAVY;1.5 MINUTES;"""Channel arcyne energy to wrap an ally in a protective ward. The ward covers their entire body with light armor, \"
augmentation;pointbuy_spells;;/datum/action/cooldown/spell/augment_buff/attune_giant;"""Attune: Giant""";code\modules\spells\spell_types\wizard\augmentation\attune_giant.dm;;;;"""Strengthen the target. (+4 Strength, grants Guidance)\nAttunement - Giant, Hawk, and Haste share a cooldown; only one may be held at a time."""
augmentation;pointbuy_spells;;/datum/action/cooldown/spell/augment_buff/attune_haste;"""Attune: Haste""";code\modules\spells\spell_types\wizard\augmentation\attune_haste.dm;;;;"""Cause a target to be magically hastened. (+3 Speed, 0.85x Action Cooldown, grants Guidance)\nAttunement - Giant, Hawk, and Haste share a cooldown; only one may be held at a time."""
augmentation;pointbuy_spells;;/datum/action/cooldown/spell/augment_buff/attune_hawk;"""Attune: Hawk""";code\modules\spells\spell_types\wizard\augmentation\attune_hawk.dm;;;;"""Sharpen the target's body and vision. (+1 Strength, +4 Perception, grants Guidance)\nAttunement - Giant, Hawk, and Haste share a cooldown; only one may be held at a time."""
augmentation;pointbuy_spells;;/datum/action/cooldown/spell/augment_buff/blood_rush;"""Blood Rush""";code\modules\spells\spell_types\wizard\augmentation\blood_rush.dm;;;60 SECONDS;"""Flood the target's veins with a surge of vigor, quickening their body for a short burst."""
augmentation;pointbuy_spells;;/datum/action/cooldown/spell/augment_buff/enlarge;"""Enlarge Person""";code\modules\spells\spell_types\wizard\augmentation\enlarge.dm;;;2 MINUTES;"""For a time, enlarges your target to a giant hulking version of themselves capable of bashing into doors. Does not work on folk who are already large. Can only be used on members of your fellowship."""
augmentation;pointbuy_spells;;/datum/action/cooldown/spell/augment_buff/fortitude;"""Fortitude""";code\modules\spells\spell_types\wizard\augmentation\fortitude.dm;;;;"""Harden one's humors to the fatigues of the body. (-25% Stamina Usage)"""
augmentation;pointbuy_spells;;/datum/action/cooldown/spell/augment_buff/grasp;"""Grasp""";code\modules\spells\spell_types\wizard\augmentation\grasp.dm;;;45 SECONDS;"""Reach out to a target within 7 tiles and wrench them to your side after a 2-second channel. An arcyne tether links you to them while you reel them in, warning them to ready themselves. They must share a fellowship with you and still be within your sight when the channel completes."""
augmentation;pointbuy_spells;;/datum/action/cooldown/spell/augment_buff/guidance;"""Guidance""";code\modules\spells\spell_types\wizard\augmentation\guidance.dm;;;90 SECONDS;"""Sharpens the senses with arcyne focus, honing the target's awareness. (+3 Perception)"""
augmentation;pointbuy_spells;;/datum/action/cooldown/spell/augment_buff/precognition;"""Precognition""";code\modules\spells\spell_types\wizard\augmentation\precognition.dm;;0.5 SECONDS;75 SECONDS;"""Peer a few moments into the future for yourself or an ally, readying them before the moment arrives. Cuts 30 seconds from the remaining cooldown of the target's Defend and Special."""
augmentation;pointbuy_spells;;/datum/action/cooldown/spell/augment_buff/surge;"""Surge""";code\modules\spells\spell_types\wizard\augmentation\surge.dm;;;;"""Flood someone's body with vigors, instantly shaking off any stun, restoring their stamina and bringing them back to their feet. Cannot be cast on yourself"""
augmentation;pointbuy_spells;;/datum/action/cooldown/spell/bind_armament;"""Bind Armament""";code\modules\spells\spell_types\wizard\ferramancy\bind_armament.dm;;CHARGETIME_MINOR;3 SECONDS;"""Bind a weapon, changing its skills to Arcyne Armament instead of its original skill. Once it is unbound, it returns to the original skill. Cast with an empty hand to release the bond. If another takes up the weapon, the bond snaps."""
augmentation;pointbuy_spells;;/datum/action/cooldown/spell/featherfall;"""Featherfall""";code\modules\spells\spell_types\wizard\augmentation\featherfall.dm;;1 SECONDS;2 MINUTES;"""Grant yourself and any creatures adjacent to you some defense against falls."""
augmentation;pointbuy_spells;;/datum/action/cooldown/spell/forcewall;"""Forcewall""";code\modules\spells\spell_types\wizard\conjure\forcewall.dm;;1 SECONDS;30 SECONDS;"""Conjure a 5x1 wall of arcyne force in front of you, preventing anyone and anything other than you from moving through it.\n\"
augmentation;pointbuy_spells;;/datum/action/cooldown/spell/leap;"""Leap""";code\modules\spells\spell_types\wizard\augmentation\leap.dm;;1 SECONDS;2 MINUTES;"""Empower a target's legs to allow them to leap to great heights for 20 seconds. Does not prevent fall damage."""
augmentation;pointbuy_spells;;/datum/action/cooldown/spell/nondetection;"""Nondetection""";code\modules\spells\spell_types\wizard\augmentation\nondetection.dm;;1 SECONDS;10 SECONDS;"""Shroud a target from divination magic for 1 hour."""
augmentation;variants;;/datum/action/cooldown/spell/ascension;"""Ascension""";code\modules\spells\spell_types\wizard\augmentation\ascension.dm;;CHARGETIME_HEAVY;120 SECONDS;"""Channel all of your arcyne potential into another, granting them every augmentation at once - \"
autowardry;choice_spells;;/datum/action/cooldown/spell/conjure_arcyne_ward/crystalhide;"""Conjure Crystalhide Ward""";code\modules\spells\spell_types\wizard\conjure\conjure_arcyne_ward.dm;;6 SECONDS;;"""Conjure a crystalhide ward - an upgraded arcyne ward crystallized with leyline energy. \"
autowardry;choice_spells;;/datum/action/cooldown/spell/conjure_arcyne_ward/dragonhide;"""Conjure Dragonhide Ward""";code\modules\spells\spell_types\wizard\conjure\conjure_arcyne_ward.dm;;;;"""Conjure a dragonhide ward - an upgraded arcyne ward hardened with draconic scales. \"
battlewardry;choice_spells;;/datum/action/cooldown/spell/projectile/greater_arcyne_bolt;"""Greater Arcyne Bolt""";code\modules\spells\spell_types\wizard\projectiles_single\greater_arcyne_bolt.dm;;CHARGETIME_POKE;5.5 SECONDS;"""Fire a concentrated bolt of arcyne energy at a single target. \"
battlewardry;choice_spells;;/datum/action/cooldown/spell/projectile/soulshot;"""Soulshot""";code\modules\spells\spell_types\wizard\kinesis\soulshot.dm;;CHARGETIME_MAJOR;8 SECONDS;"""Fire a devastating beam of kinetic force that pierces through up to 4 targets. Stopped by solid objects. \"
battlewardry;fixed_spells;;/datum/action/cooldown/spell/arrow_ward;"""Arrow Ward""";code\modules\spells\spell_types\wizard\battlewardry\arrow_ward.dm;;CHARGETIME_POKE;30 SECONDS;"""Conjure a wide barrier of arcyne force in front of you. The barrier blocks incoming projectiles from the front but allows allies and the caster to shoot and walk through freely."""
battlewardry;fixed_spells;;/datum/action/cooldown/spell/battle_ward;"""Battle Ward""";code\modules\spells\spell_types\wizard\battlewardry\battle_ward.dm;;CHARGETIME_HEAVY;20 SECONDS;"""Channel arcyne energy to inscribe a pattern of five rune wards in an X formation on a targeted area. The runes are fragile and last for one minute before fading. In addition, Battle Wards are indiscriminate unlike permanent Rune Wards, and will hit the caster and their allies. They can be circumvented by jumping or flying over them, or destroyed with a few solid hits. The type of rune placed depends on your current ward mode.\n\"
battlewardry;fixed_spells;;/datum/action/cooldown/spell/bestow_ward;"""Bestow Ward""";code\modules\spells\spell_types\wizard\battlewardry\bestow_ward.dm;;CHARGETIME_HEAVY;1.5 MINUTES;"""Channel arcyne energy to wrap an ally in a protective ward. The ward covers their entire body with light armor, \"
battlewardry;fixed_spells;;/datum/action/cooldown/spell/forcewall;"""Forcewall""";code\modules\spells\spell_types\wizard\conjure\forcewall.dm;;1 SECONDS;30 SECONDS;"""Conjure a 5x1 wall of arcyne force in front of you, preventing anyone and anything other than you from moving through it.\n\"
battlewardry;fixed_spells;;/datum/action/cooldown/spell/touch/rune_ward;"""Rune Ward""";code\modules\spells\spell_types\wizard\utility\rune_ward.dm;;;30 SECONDS;"""Channel arcyne energy through ash to inscribe protective runes upon the ground. The runes trigger when trespassers cross them - but can be circumvented by jumping or flying over them. Includes the following modes:\n \"
battlewardry;variants;;/datum/action/cooldown/spell/arcyne_fortress;"""Arcyne Fortress""";code\modules\spells\spell_types\wizard\battlewardry\arcyne_fortress.dm;;CHARGETIME_HEAVY;90 SECONDS;"""Channel an immense surge of arcyne energy to erect a 5x5 fortress of arrow wards around yourself. \"
cryomancy;fixed_spells;;/datum/action/cooldown/spell/fridigitation;"""Fridigitation""";code\modules\spells\spell_types\wizard\cryomancy\fridigitation.dm;;CHARGETIME_POKE;30 SECONDS;"""An advanced version of Chill Food.\n\"
cryomancy;fixed_spells;;/datum/action/cooldown/spell/frost_blast;"""Frost Blast""";code\modules\spells\spell_types\wizard\cryomancy\frost_blast.dm;;1 SECONDS;10 SECONDS;"""Channel a blast of frost in a 4-tile line toward your target, repelling those struck back 2 paces and chilling them to the bone. \"
cryomancy;fixed_spells;;/datum/action/cooldown/spell/projectile/frost_bolt;"""Frost Bolt""";code\modules\spells\spell_types\wizard\cryomancy\frost_bolt.dm;;CHARGETIME_POKE;5.5 SECONDS;"""A shard of frozen energy that slows and damages a target. \"
cryomancy;fixed_spells;;/datum/action/cooldown/spell/projectile/ice_burst;"""Ice Burst""";code\modules\spells\spell_types\wizard\cryomancy\ice_burst.dm;;CHARGETIME_MAJOR;16 SECONDS;"""Launch a burst of frozen energy that shatters on impact, freezing and burning all nearby targets in a small area. \"
cryomancy;fixed_spells;;/datum/action/cooldown/spell/snap_freeze;"""Snap Freeze""";code\modules\spells\spell_types\wizard\cryomancy\snap_freeze.dm;;CHARGETIME_HEAVY;20 SECONDS;"""Freeze the air in a small area in an instant, slowing and damaging those affected."""
cryomancy;variants;;/datum/action/cooldown/spell/frozen_mist;"""Frozen Mist""";code\modules\spells\spell_types\wizard\cryomancy\frozen_mist.dm;;CHARGETIME_HEAVY;60 SECONDS;"""Conjure a persistent cloud of freezing mist over a large area. \"
displacement;fixed_spells;;/datum/action/cooldown/spell/phase;"""Phase""";code\modules\spells\spell_types\wizard\misc\phase.dm;;CHARGETIME_POKE;45 SECONDS;"""Slip your body partly out of the world, becoming hazy and ethereal. For a short time you move faster and pass straight through other beings. The effect is stronger in lighter armor."""
exowardry;fixed_spells;;/datum/action/cooldown/spell/forcewall;"""Forcewall""";code\modules\spells\spell_types\wizard\conjure\forcewall.dm;;1 SECONDS;30 SECONDS;"""Conjure a 5x1 wall of arcyne force in front of you, preventing anyone and anything other than you from moving through it.\n\"
ferramancy;fixed_spells;;/datum/action/cooldown/spell/arcyne_forge;"""Arcyne Forge""";code\modules\spells\spell_types\wizard\conjure\arcyne_forge.dm;;2 SECONDS;1 MINUTES;"""Conjure a weapon or tool of your choice. Conjured items have halved durability.\n\"
ferramancy;fixed_spells;;/datum/action/cooldown/spell/bind_armament;"""Bind Armament""";code\modules\spells\spell_types\wizard\ferramancy\bind_armament.dm;;CHARGETIME_MINOR;3 SECONDS;"""Bind a weapon, changing its skills to Arcyne Armament instead of its original skill. Once it is unbound, it returns to the original skill. Cast with an empty hand to release the bond. If another takes up the weapon, the bond snaps."""
