scope;file;datum_path;name;desc;cost;point_cost;spell_tier;primary_resource_cost;charge_time;cooldown_time;sound;overlay_state;action_icon_state;spell_type;invocation_type;antimagic_flags
classunique/spellblade;code\modules\spells\spell_types\classunique\spellblade\_spellblade_strike.dm;/datum/action/cooldown/spell/telegraphed_strike/spellblade;;;;;2;SPELLCOST_SB_POKE;;12 SECONDS;'sound/combat/ground_smash1.ogg';;;;;
classunique/spellblade;code\modules\spells\spell_types\classunique\spellblade\advance.dm;/datum/action/cooldown/spell/advance;"""Advance!""";"""Leap forward up to 4 tiles, passing through enemies, then stab ahead on landing. \";;;2;SPELLCOST_SB_MOBILITY;CHARGETIME_POKE;15 SECONDS;'sound/combat/wooshes/bladed/wooshsmall (1).ogg';;;;INVOCATION_SHOUT;
classunique/spellblade;code\modules\spells\spell_types\classunique\spellblade\air_strike.dm;/datum/action/cooldown/spell/air_strike;"""Air Strike""";"""Your blade passes into the immaterial and the leyline carries it forth, striking up to 4 tiles away. \";;;2;SPELLCOST_SB_POKE;1;12 SECONDS;'sound/combat/wooshes/bladed/wooshsmall (1).ogg';;;;INVOCATION_SHOUT;
classunique/spellblade;code\modules\spells\spell_types\classunique\spellblade\azurean_phalanx.dm;/datum/action/cooldown/spell/azurean_phalanx;"""Azurean Phalanx""";"""Prime your next melee strike with arcyne force. On hit, the blow pierces through, \";;;2;SPELLCOST_SB_POKE;;12 SECONDS;'sound/magic/antimagic.ogg';;;;INVOCATION_SHOUT;
classunique/spellblade;code\modules\spells\spell_types\classunique\spellblade\azurean_pilum.dm;/datum/action/cooldown/spell/projectile/azurean_pilum;"""Azurean Pilum""";"""A borrowed art - spellblades of the Azurean tradition learned to imbue their throw with ice essence, \";;;2;SPELLCOST_MINOR_PROJECTILE;CHARGETIME_POKE;10 SECONDS;'sound/combat/wooshes/bladed/wooshsmall (1).ogg';;;;INVOCATION_SHOUT;
classunique/spellblade;code\modules\spells\spell_types\classunique\spellblade\bind_weapon.dm;/datum/action/cooldown/spell/bind_weapon;"""Bind Weapon""";"""Bind your held weapon as an arcyne conduit. Successful strikes with bound weapons build arcyne momentum, fueling your abilities. \";;;1;SPELLCOST_SB_POKE;;5 SECONDS;'sound/magic/charged.ogg';;;;INVOCATION_SHOUT;
classunique/spellblade;code\modules\spells\spell_types\classunique\spellblade\blade_storm.dm;/datum/action/cooldown/spell/blade_storm;"""Blade Storm""";"""Mark a patch of ground within reach - a shadow of yourself coalesces there. Then, a mote later, you emerge in a storm of slashes, focusing on whomever is at its center and sweep around them.\";;;3;SPELLCOST_SB_ULT;CHARGETIME_MINOR;60 SECONDS;'sound/magic/blink.ogg';;;;INVOCATION_SHOUT;
classunique/spellblade;code\modules\spells\spell_types\classunique\spellblade\caedo.dm;/datum/action/cooldown/spell/caedo;"""Caedo""";"""In the old tongue, caedo - to strike or to cut down. Dash forward at blinding speed, \";;;2;SPELLCOST_SB_POKE;CHARGETIME_POKE;12 SECONDS;'sound/magic/blink.ogg';;;;INVOCATION_SHOUT;
classunique/spellblade;code\modules\spells\spell_types\classunique\spellblade\cataclysm.dm;/datum/action/cooldown/spell/cataclysm;"""Cataclysm""";"""Let the mountain fall. Conjure a hammer of pure arcyne force and hurl it at a target area. \";;;3;SPELLCOST_SB_ULT;CHARGETIME_MAJOR;60 SECONDS;'sound/combat/ground_smash1.ogg';;;;INVOCATION_SHOUT;
classunique/spellblade;code\modules\spells\spell_types\classunique\spellblade\charge.dm;/datum/action/cooldown/spell/charge;"""Charge!""";"""Infuse mana into your legs, dashing forward four paces - \";;;1;SPELLCOST_SB_MOBILITY;;12 SECONDS;'sound/combat/wooshes/bladed/wooshsmall (1).ogg';;;;INVOCATION_NONE;
