scope;file;datum_path;name;desc;cost;charge_time;cooldown_time;sound;overlay_state;action_icon_state;spell_type;invocation_type;antimagic_flags
classunique/spellblade;code\modules\spells\spell_types\classunique\spellblade\_spellblade_strike.dm;/datum/action/cooldown/spell/telegraphed_strike/spellblade;;;;;12 SECONDS;'sound/combat/ground_smash1.ogg';;;;;
classunique/spellblade;code\modules\spells\spell_types\classunique\spellblade\advance.dm;/datum/action/cooldown/spell/advance;"""Advance!""";"""Leap forward up to 4 tiles, passing through enemies, then stab ahead on landing. \";;CHARGETIME_POKE;15 SECONDS;'sound/combat/wooshes/bladed/wooshsmall (1).ogg';;;;INVOCATION_SHOUT;
classunique/spellblade;code\modules\spells\spell_types\classunique\spellblade\air_strike.dm;/datum/action/cooldown/spell/air_strike;"""Air Strike""";"""Your blade passes into the immaterial and the leyline carries it forth, striking up to 4 tiles away. \";;1;12 SECONDS;'sound/combat/wooshes/bladed/wooshsmall (1).ogg';;;;INVOCATION_SHOUT;
classunique/spellblade;code\modules\spells\spell_types\classunique\spellblade\azurean_phalanx.dm;/datum/action/cooldown/spell/azurean_phalanx;"""Azurean Phalanx""";"""Prime your next melee strike with arcyne force. On hit, the blow pierces through, \";;;12 SECONDS;'sound/magic/antimagic.ogg';;;;INVOCATION_SHOUT;
classunique/spellblade;code\modules\spells\spell_types\classunique\spellblade\azurean_pilum.dm;/datum/action/cooldown/spell/projectile/azurean_pilum;"""Azurean Pilum""";"""A borrowed art - spellblades of the Azurean tradition learned to imbue their throw with ice essence, \";;CHARGETIME_POKE;10 SECONDS;'sound/combat/wooshes/bladed/wooshsmall (1).ogg';;;;INVOCATION_SHOUT;
classunique/spellblade;code\modules\spells\spell_types\classunique\spellblade\bind_weapon.dm;/datum/action/cooldown/spell/bind_weapon;"""Bind Weapon""";"""Bind your held weapon as an arcyne conduit. Successful strikes with bound weapons build arcyne momentum, fueling your abilities. \";;;5 SECONDS;'sound/magic/charged.ogg';;;;INVOCATION_SHOUT;
classunique/spellblade;code\modules\spells\spell_types\classunique\spellblade\blade_storm.dm;/datum/action/cooldown/spell/projectile/blade_storm;"""Blade Storm""";"""Hurls forth a shadow of yourself. On impact, teleport onto the target \";;2 SECONDS;60 SECONDS;'sound/magic/blink.ogg';;;;INVOCATION_SHOUT;
classunique/spellblade;code\modules\spells\spell_types\classunique\spellblade\caedo.dm;/datum/action/cooldown/spell/caedo;"""Caedo""";"""In the old tongue, caedo - to strike or to cut down. Dash forward at blinding speed, \";;CHARGETIME_POKE;12 SECONDS;'sound/magic/blink.ogg';;;;INVOCATION_SHOUT;
classunique/spellblade;code\modules\spells\spell_types\classunique\spellblade\cataclysm.dm;/datum/action/cooldown/spell/cataclysm;"""Cataclysm""";"""Let the mountain fall. Conjure a hammer of pure arcyne force and hurl it at a target area. \";;CHARGETIME_MAJOR;60 SECONDS;'sound/combat/ground_smash1.ogg';;;;INVOCATION_SHOUT;
classunique/spellblade;code\modules\spells\spell_types\classunique\spellblade\charge.dm;/datum/action/cooldown/spell/charge;"""Charge!""";"""Infuse mana into your legs, dashing forward four paces - \";;;12 SECONDS;'sound/combat/wooshes/bladed/wooshsmall (1).ogg';;;;INVOCATION_NONE;
classunique/spellblade;code\modules\spells\spell_types\classunique\spellblade\empower_weapon.dm;/datum/action/cooldown/spell/empower_weapon;"""Empower Weapon""";"""Channel all accumulated momentum into your next strike, empowering it to bypass parry and dodge. Works with both weapons and unarmed attacks. \";;;30 SECONDS;'sound/magic/antimagic.ogg';;;;INVOCATION_NONE;
