kind;scope_or_source;bucket;spell_path;name;file;notes
raw_added;wizard/misc;;/datum/action/cooldown/spell/aetherknife;Aetherknife;code\modules\spells\spell_types\wizard\misc\aetherknife.dm;
raw_added;wizard/telomancy;;/datum/action/cooldown/spell/arcyne_burst;Arcyne Burst;code\modules\spells\spell_types\wizard\telomancy\arcyne_burst.dm;
raw_added;wizard/augmentation;;/datum/action/cooldown/spell/augment_buff/augment_defense;Augment Defense;code\modules\spells\spell_types\wizard\augmentation\augment_defense.dm;
raw_added;classunique/spellblade;;/datum/action/cooldown/spell/blade_storm;Blade Storm;code\modules\spells\spell_types\classunique\spellblade\blade_storm.dm;
raw_added;wizard/telomancy;;/datum/action/cooldown/spell/circumdatum;Circumdatum;code\modules\spells\spell_types\wizard\telomancy\circumdatum.dm;
raw_added;wizard/conjure;;/datum/action/cooldown/spell/command_word;;code\modules\spells\spell_types\wizard\conjure\command_word.dm;
raw_added;wizard/conjure;;/datum/action/cooldown/spell/command_word/beckon;Beckon;code\modules\spells\spell_types\wizard\conjure\command_word.dm;
raw_added;wizard/conjure;;/datum/action/cooldown/spell/command_word/fray;Fray;code\modules\spells\spell_types\wizard\conjure\command_word.dm;
raw_added;wizard/conjure;;/datum/action/cooldown/spell/command_word/harry;Harry;code\modules\spells\spell_types\wizard\conjure\command_word.dm;
raw_added;wizard/conjure;;/datum/action/cooldown/spell/command_word/quicken;Quicken;code\modules\spells\spell_types\wizard\conjure\command_word.dm;
raw_added;wizard/conjure;;/datum/action/cooldown/spell/conjure_aegis;Arcyne Aegis;code\modules\spells\spell_types\wizard\conjure\conjure_aegis.dm;
raw_added;wizard/conjure;;/datum/action/cooldown/spell/conjure_dismiss;Dismiss Conjuration;code\modules\spells\spell_types\wizard\conjure\conjure_dismiss.dm;
raw_added;wizard/conjure;;/datum/action/cooldown/spell/conjure_projection;Spirit Projection;code\modules\spells\spell_types\wizard\conjure\spirit_projection.dm;
raw_added;wizard/conjure;;/datum/action/cooldown/spell/conjure_recall;Recall Servants;code\modules\spells\spell_types\wizard\conjure\minion_order.dm;
raw_added;wizard/conjure;;/datum/action/cooldown/spell/conjure_summon;;code\modules\spells\spell_types\wizard\conjure\_conjure_summon.dm;
raw_added;wizard/conjure;;/datum/action/cooldown/spell/conjure_summon/attacker;Summon Rogue;code\modules\spells\spell_types\wizard\conjure\summon_rogue.dm;
raw_added;wizard/conjure;;/datum/action/cooldown/spell/conjure_summon/champion;Summon Champion;code\modules\spells\spell_types\wizard\conjure\summon_champion.dm;
raw_added;wizard/conjure;;/datum/action/cooldown/spell/conjure_summon/doppelsoldner;Conjure Doppel Soldner;code\modules\spells\spell_types\wizard\conjure\summon_champion.dm;
raw_added;wizard/conjure;;/datum/action/cooldown/spell/conjure_summon/hordes;Summon Horde;code\modules\spells\spell_types\wizard\conjure\summon_horde.dm;
raw_added;wizard/conjure;;/datum/action/cooldown/spell/conjure_summon/peasant_swarm;Conjure Levy;code\modules\spells\spell_types\wizard\conjure\summon_horde.dm;
raw_added;wizard/conjure;;/datum/action/cooldown/spell/conjure_summon/primordial;Conjure Primordial;code\modules\spells\spell_types\wizard\conjure\conjure_primordial.dm;
raw_added;wizard/pyromancy;;/datum/action/cooldown/spell/fire_strike;Fire Strike;code\modules\spells\spell_types\wizard\pyromancy\fire_strike.dm;
raw_added;wizard/cryomancy;;/datum/action/cooldown/spell/forcewall/ice;Ice Wall;code\modules\spells\spell_types\wizard\cryomancy\ice_wall.dm;
raw_added;wizard/ferramancy;;/datum/action/cooldown/spell/form_blade/form_hammer;Form Hammer;code\modules\spells\spell_types\wizard\ferramancy\form_hammer.dm;
raw_added;wizard/fulgurmancy;;/datum/action/cooldown/spell/fulmination;Fulmination;code\modules\spells\spell_types\wizard\fulgurmancy\fulmination.dm;
raw_added;wizard/geomancy;;/datum/action/cooldown/spell/geas;Geas;code\modules\spells\spell_types\wizard\geomancy\geas.dm;
raw_added;wizard/geomancy;;/datum/action/cooldown/spell/grenzel_meteor;Meteor Strike;code\modules\spells\spell_types\wizard\geomancy\meteor_strike.dm;
raw_added;wizard/illusion;;/datum/action/cooldown/spell/invisibility;Invisibility;code\modules\spells\spell_types\wizard\illusion\invisibility.dm;
raw_added;wizard/fulgurmancy;;/datum/action/cooldown/spell/levinstroke;Levinstroke;code\modules\spells\spell_types\wizard\fulgurmancy\levinstroke.dm;
raw_added;wizard/misc;;/datum/action/cooldown/spell/levitation;Levitation;code\modules\spells\spell_types\wizard\misc\levitation.dm;
raw_added;wizard/utility;;/datum/action/cooldown/spell/mending/malum;Reforge;code\modules\spells\spell_types\wizard\utility\mending.dm;
raw_added;wizard/geomancy;;/datum/action/cooldown/spell/menhir;Menhir;code\modules\spells\spell_types\wizard\geomancy\menhir.dm;
raw_added;wizard/conjure;;/datum/action/cooldown/spell/minion_mark;Conjurer's Mark;code\modules\spells\spell_types\wizard\conjure\minion_order.dm;
raw_added;wizard/conjure;;/datum/action/cooldown/spell/minion_order/conjurer;Order Servants;code\modules\spells\spell_types\wizard\conjure\minion_order.dm;
raw_added;wizard/telomancy;;/datum/action/cooldown/spell/projectile/arcyne_volley;Magister's Dart;code\modules\spells\spell_types\wizard\telomancy\arcyne_volley.dm;
raw_added;wizard/pyromancy;;/datum/action/cooldown/spell/projectile/fireball/barrage;Wyrmfire;code\modules\spells\spell_types\wizard\pyromancy\wyrmfire.dm;
raw_added;wizard/pyromancy;;/datum/action/cooldown/spell/projectile/pyroclasm;Pyroclasm;code\modules\spells\spell_types\wizard\pyromancy\wyrmfire.dm;
raw_added;wizard/cryomancy;;/datum/action/cooldown/spell/projectile/rimecast;Rimecast;code\modules\spells\spell_types\wizard\cryomancy\rimecast.dm;
raw_added;wizard/pyromancy;;/datum/action/cooldown/spell/projectile/smoke_burst;Smoke Burst;code\modules\spells\spell_types\wizard\pyromancy\smoke_burst.dm;
raw_added;wizard/augmentation;;/datum/action/cooldown/spell/second_chance;Second Chance;code\modules\spells\spell_types\wizard\augmentation\second_chance.dm;
raw_added;wizard/conjure;;/datum/action/cooldown/spell/spirit_return;Return to Body;code\modules\spells\spell_types\wizard\conjure\spirit_projection.dm;
raw_added;wizard/telomancy;;/datum/action/cooldown/spell/telegraphed_strike/crossing_blast;Crossing Blast;code\modules\spells\spell_types\wizard\telomancy\crossing_blast.dm;
raw_added;wizard/pyromancy;;/datum/action/cooldown/spell/telegraphed_strike/dragons_breath;Dragon's Breath;code\modules\spells\spell_types\wizard\pyromancy\dragons_breath.dm;
raw_added;wizard/kinesis;;/datum/action/cooldown/spell/telegraphed_strike/kinetic_burst;Kinetic Burst;code\modules\spells\spell_types\wizard\kinesis\kinetic_burst.dm;
raw_added;wizard/geomancy;;/datum/action/cooldown/spell/tumult;Tumult;code\modules\spells\spell_types\wizard\geomancy\tumult.dm;
raw_added;wizard/pyromancy;;/datum/action/cooldown/spell/ultio;Ultio;code\modules\spells\spell_types\wizard\pyromancy\ultio.dm;
raw_added;wizard/cryomancy;;/datum/action/cooldown/spell/verglas;Verglas;code\modules\spells\spell_types\wizard\cryomancy\verglas.dm;
raw_added;wizard/telomancy;;/datum/action/cooldown/spell/void_beam;Void Beam;code\modules\spells\spell_types\wizard\telomancy\void_beam.dm;
raw_removed;wizard/augmentation;;/datum/action/cooldown/spell/ascension;Ascension;code\modules\spells\spell_types\wizard\augmentation\ascension.dm;
raw_removed;wizard/conjure;;/datum/action/cooldown/spell/conjure_arcyne_ward/steelhide;Conjure Steelhide Ward;code\modules\spells\spell_types\wizard\conjure\conjure_steelhide.dm;
